ward_name,feeder_id,asset_type,asset_age_years,infrastructure_quality,reliability_rating,datetime_start,duration_minutes,consumers_affected,cause,area_type,estimated_revenue_loss,crew_requirement,restoration_complexity
Kadugodi,FD-KAD-03,Underground,9,Modern,0.995,2025-09-06 00:00:00,0,0,No Outage,new_tech_zones,0.0,Standard Line Crew + Excavation Support,High
Hudi,FD-HUD-02,Underground,15,Modern,0.995,2025-09-06 00:00:00,0,0,No Outage,new_tech_zones,0.0,Standard Line Crew + Excavation Support,High
Kudlu,FD-KUD-02,Underground,11,Modern,0.995,2025-09-06 00:00:00,0,0,No Outage,new_tech_zones,0.0,Standard Line Crew + Excavation Support,High
Bommanahalli,FD-BOM-05,Underground,8,Modern,0.995,2025-09-06 00:00:00,0,0,No Outage,new_tech_zones,0.0,Standard Line Crew + Excavation Support,High
Singasandra,FD-SIN-05,Underground,7,Modern,0.995,2025-09-06 00:00:00,0,0,No Outage,new_tech_zones,0.0,Standard Line Crew + Excavation Support,High
Whitefield,FD-WHI-05,Underground,6,Modern,0.995,2025-09-06 00:00:00,0,0,No Outage,new_tech_zones,0.0,Standard Line Crew + Excavation Support,High
Koramangala,FD-KOR-04,Mixed,19,Good,0.988,2025-09-06 00:00:00,0,0,No Outage,established_residential,0.0,Standard Line Crew,Medium
J P Nagar,FD-JPN-04,Mixed,11,Good,0.988,2025-09-06 00:00:00,0,0,No Outage,established_residential,0.0,Standard Line Crew,Medium
BTM Layout,FD-BTM-03,Mixed,10,Good,0.988,2025-09-06 00:00:00,0,0,No Outage,established_residential,0.0,Standard Line Crew,Medium
Domlur,FD-DOM-04,Mixed,16,Good,0.988,2025-09-06 00:00:00,0,0,No Outage,established_residential,0.0,Standard Line Crew,Medium
Hoysala Nagar,FD-HOY-01,Mixed,14,Good,0.988,2025-09-06 00:00:00,0,0,No Outage,established_residential,0.0,Standard Line Crew,Medium
Malleswaram,FD-MAL-01,Overhead,24,Legacy,0.975,2025-09-06 00:00:00,0,0,No Outage,traditional_areas,0.0,Standard Line Crew,Medium
Mattikere,FD-MAT-03,Overhead,22,Legacy,0.975,2025-09-06 00:00:00,0,0,No Outage,traditional_areas,0.0,Standard Line Crew,Medium
Basavanagudi,FD-BAS-01,Overhead,22,Legacy,0.975,2025-09-06 00:00:00,0,0,No Outage,traditional_areas,0.0,Standard Line Crew,Medium
Vasanth Nagar,FD-VAS-02,Overhead,21,Legacy,0.975,2025-09-06 00:00:00,0,0,No Outage,traditional_areas,0.0,Standard Line Crew,Medium
