district,datetime,temperature_c,wind_speed_ms,humidity,barometric_pressure,visibility_km,weather,risk_score,risk_level,primary_risk_factor,all_risk_factors,district_category,category_multiplier,infrastructure_feeders,infrastructure_substations,at_risk_assets,emergency_contact,operational_recommendations
ballari,2025-08-23 02:30:00,25.0,2.0,0.76,1.008,4.0,Passing clouds.,3.9,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,7,+91-960-550-5767,Continue normal monitoring
ballari,2025-08-23 05:30:00,24.0,2.0,0.83,1.008,4.0,Passing clouds.,4.3,Medium,Humidity Stress,"Humidity Stress, Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,2,+91-955-103-3958,Continue normal monitoring
ballari,2025-08-23 08:30:00,25.0,2.0,0.83,1.01,10.0,Overcast.,4.3,Medium,Humidity Stress,"Humidity Stress, Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,5,+91-865-184-3340,Continue normal monitoring
ballari,2025-08-23 11:30:00,30.0,3.0,0.69,1.008,10.0,Overcast.,3.62,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,4,+91-826-803-5240,Continue normal monitoring
ballari,2025-08-23 14:30:00,32.0,3.0,0.51,1.006,10.0,Overcast.,3.04,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,5,+91-840-597-1426,Continue normal monitoring
ballari,2025-08-23 17:30:00,31.0,2.0,0.57,1.005,10.0,Overcast.,3.09,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,4,+91-869-883-3294,Continue normal monitoring
ballari,2025-08-23 20:30:00,27.0,2.0,0.72,1.008,4.0,Passing clouds.,3.69,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,6,+91-886-390-4041,Continue normal monitoring
ballari,2025-08-23 23:30:00,26.0,3.0,0.76,1.01,4.0,Passing clouds.,3.98,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,3,+91-939-769-4560,Continue normal monitoring
ballari,2025-08-24 02:30:00,25.0,3.0,0.79,1.008,4.0,Passing clouds.,4.14,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,3,+91-949-858-4065,Continue normal monitoring
ballari,2025-08-24 05:30:00,24.0,2.0,0.83,1.009,4.0,Passing clouds.,4.3,Medium,Humidity Stress,"Humidity Stress, Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,2,+91-821-795-3419,Continue normal monitoring
